Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AYRES DE MOURA PROFESSOR,35000012,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARTUR ORLANDO, 907 RUA. VILA JAGUARA. 05118-000 São Paulo - SP.",(11) 36251934,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-23.51227,-46.74971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GAVIAO PEIXOTO BRIGADEIRO,35000024,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MOGEIRO, 710 RUA. VILA PERUS. 05208-230 São Paulo - SP.",(11) 39170748,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.40471,-46.75938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO SOLIMEO,35000036,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DO SABAO, 1497 ESTRADA. JARDIM MARISTELA. 02806-000 São Paulo - SP.",(11) 39238001,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4694686,-46.6983995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WALFREDO ARANTES CALDAS PROFESSOR,35000048,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 1701 VILA SOUZA. 02860-001 São Paulo - SP.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.464,-46.67971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,35000059,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO GIRON, SN ESTRADA. MORRO DOCE. 05267-000 São Paulo - SP.",(11) 39166331,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.4383462,-46.7924469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SUZANA DE CAMPOS DONA,35000061,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO MAIA, 691 RUA. VILA PERUS. 05204-110 São Paulo - SP.",(11) 39156049,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4067938,-46.7552957
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIO DE FARIA E SOUZA PROFESSOR,35000073,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"POMPEU PEQUENO DE SOUZA BRASIL, 89 RUA. VILA FRANCOS. 02881-100 São Paulo - SP.",(11) 38514186,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4672717,-46.67466
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIO CESAR DE OLIVEIRA PROFESSOR,35000085,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALBERTO VEIGA, 99 RUA. VILA PIRITUBA. 05172-270 São Paulo - SP.",(11) 39045586,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4817479,-46.7458102
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RENATO DE ARRUDA PENTEADO PROFESSOR,35000097,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FLORIANO DA COSTA BARROSO, 10 RUA. JARDIM CAROMBE. 02855-220 São Paulo - SP.",(11) 39213350,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4581327,-46.7022058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO BOEMER JARDIM PROFESSOR,35000103,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CRISTOVAO SANTIAGO, 50 RUA. JARDIM ONDINA. 02871-040 São Paulo - SP.",(11) 38513079,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,,-23.4613,-46.6739
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FRANCISCO FARIA NETO PROFESSOR,35000115,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SILVERIO DE CASTRO SOUSA, 102 RUA. JARDIM SYDNEY. 02982-000 São Paulo - SP.",(11) 39721060,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-23.4505517,-46.7159017
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE ALTENFELDER SILVA PROFESSOR,35000127,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CARLOS ALBERTO VANZOLINI, 397 RUA. VILA DOS REMEDIOS. 05103-060 São Paulo - SP.",(11) 36251414,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.5136305,-46.7518108
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIANO DE OLIVEIRA PROFESSOR,35000139,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALMIRANTE ISAIAS DE NORONHA, 13 RUA. VILA PEREIRA BARRETO. 02919-100 São Paulo - SP.",(11) 39757083,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-23.49153,-46.71565
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SILVIO XAVIER ANTUNES PROFESSOR,35000140,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE DA SILVA MARTHA, 150 RUA. PIQUERI. 02913-100 São Paulo - SP.",(11) 39766232,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5017077,-46.7131588
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OCTAVIO MONTEIRO DE CASTRO PROFESSOR,35000152,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ITAQUIRAI, 01 PRACA. VILA MANGALOT. 05132-110 São Paulo - SP.",(11) 38315833,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.5045327,-46.7446418
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PIO TELLES PEIXOTO PROFESSOR,35000164,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARTUR ORLANDO, 985 RUA. VILA JAGUARA. 05118-000 São Paulo - SP.",(11) 36251933,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.511597,-46.7487375
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ZENAIDE VILALVA DE ARAUJO PROFESSORA,35000176,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"BELO JARDIM, 674 RUA. JARDIM MUTINGA. 05159-200 São Paulo - SP.",(11) 39040216,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.5006627,-46.7122546
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,35000188,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MUTINGA, 5071 AVENIDA. JARDIM SANTO ELIAS. 05110-000 São Paulo - SP.",(11) 36214575,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5047429,-46.7581958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AGENOR COUTO DE MAGALHAES DOUTOR,35000197,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GUILHERME MANKEL, 99 AVENIDA. VILA CLARICE. 05176-000 São Paulo - SP.",(11) 39041956,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-23.47151,-46.74658
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALIPIO DE BARROS PROFESSOR,35000206,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"COMENDADOR FEIZ ZARZUR, SN AVENIDA. JARDIM CIDADE PIRITUBA. 02942-000 São Paulo - SP.",(11) 39747091,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-23.4794897,-46.7187609
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO FRANCISCO REDONDO PROFESSOR,35000218,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"EVANDRO DANTON FERREIRA GANDRA, 148 RUA. VILA MANGALOT. 05131-100 São Paulo - SP.",(11) 39045011,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4969,-46.7434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CANDIDO GONCALVES GOMIDE PROFESSOR,35000224,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"AVELINO ZANETTI, 50 RUA. JARDIM CIDADE PIRITUBA. 02945-100 São Paulo - SP.",(11) 39716978,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-23.48306172,-46.72585765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CHIQUINHA RODRIGUES,35000231,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CAIAPE, 49 RUA CAIAPE. VILA PENTEADO. 02867-000 São Paulo - SP.",(11) 38511010,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-23.4720078,-46.6835924
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA,35000243,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JERIMANDUBA, 561 AVENIDA. JARAGUA. 05181-000 São Paulo - SP.",(11) 39411734,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4553103,-46.7461995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CLODOMIRO CARNEIRO,35000255,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL DE SOUZA AZEVEDO, 364 RUA. SITIO MORRO GRANDE. 02809-040 São Paulo - SP.",(11) 39717109,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4713437,-46.7031927
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ERMANO MARCHETTI,35000267,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PEDRO MARIGLIANI, 192 RUA. CHACARA INGLESA. 05141-010 São Paulo - SP.",(11) 39046132,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4933081,-46.7298324
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GALDINO LOPES CHAGAS PROFESSOR,35000279,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SABAO, 1547 ESTRADA. JARDIM MARISTELA. 02806-000 São Paulo - SP.",(11) 39217090,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,HUMBERTO DE SOUZA MELLO GENERAL,35000280,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 6803 AVENIDA. PARADA DE TAIPAS. 02860-001 São Paulo - SP.",(11) 39411722,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,DALILA DE ANDRADE COSTA PROFESSORA,35000292,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARROIO DO MEIO, SN RUA. JARDIM VISTA ALEGRE. 02878-120 São Paulo - SP.",(11) 39837456,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4537193,-46.6862732
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BENEDITO TOLOSA PROFESSOR,35000309,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DIRCEU DE LIMA, 617 PRACA. CASA VERDE. 02515-050 São Paulo - SP.",(11) 39511766,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5104708,-46.6577907
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARY BARROSO,35000310,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SANTA EUDOXIA, 630 RUA. PARQUE PERUCHE. 02533-010 São Paulo - SP.",(11) 38572910,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4976579,-46.6551012
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PEDRO MONTEIRO DO AMARAL CAPITAO,35000322,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NURSIA, 412 RUA. JARDIM SAO BENTO. 02524-020 São Paulo - SP.",(11) 38572727,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-23.5026864,-46.6506415
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MANUEL DA NOBREGA PADRE,35000334,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SANTA PRISCA, 122 RUA. JARDIM LARANJEIRAS. 02518-010 São Paulo - SP.",(11) 39666330,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atividade Complementar,-23.5089549,-46.6630694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MANOEL DA NOBREGA PADRE,35000346,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ITABERABA, 145 AVENIDA. NOSSA SENHORA DO O. 02734-000 São Paulo - SP.",(11) 39312564,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-23.4998988,-46.6979147
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MATILDE MACEDO SOARES,35000358,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE SORIANO DE SOUSA, 30 CASA VERDE ALTA. 02555-050 São Paulo - SP.",(11) 39651315,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4951189,-46.6673965
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PASQUALE PECCICACCO,35000361,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NAZARIO PAGANO, 225 RUA. JARDIM MONJOLO. 02961-030 São Paulo - SP.",(11) 39922929,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4922064,-46.6975101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO JOSE LEITE PROF,35000371,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEZ DE MAIO, 271 RUA. VILA AMELIA. 02615-100 São Paulo - SP.",(11) 22583977,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4703506,-46.655166
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTOINE DE SAINT EXUPERY,35000383,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO RIBEIRO DE MORAIS, 184 RUA. VILA CARBONE. 02751-000 São Paulo - SP.",(11) 39362980,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.4909827,-46.6810889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM LUIZ DE BRITO PROFESSOR,35000395,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SANTA LUCIA FILIPPINI, 65 RUA. ITABERABA. 02737-100 São Paulo - SP.",(11) 39752467,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.48751,-46.69238
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARQUES DE TAMANDARE ALMIRANTE,35000401,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JACARECOPAIBA, 33 RUA. VILA MARINA. 02965-170 São Paulo - SP.",(11) 39922472,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.484261,-46.7029114
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM SILVADO DOUTOR,35000413,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MONSENHOR MANOEL GOMES, 306 RUA. VILA ZAT. 02975-120 São Paulo - SP.",(11) 39756997,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.47972316,-46.70964749
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,REPUBLICA DO CHILE,35000425,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MARACAIA, 204 RUA. VILA NOVA CACHOEIRINHA. 02612-020 São Paulo - SP.",(11) 38514854,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-23.4698052,-46.6636757
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANGELINA MADUREIRA PROFESSORA,35000437,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"VICENTE FERREIRA LEITE, 489 RUA. VILA SIQUEIRA. 02723-000 São Paulo - SP.",(11) 39362962,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.498339,-46.680686
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TAUNAY VISCONDE DE,35000449,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CELESTINO BOURROUL, 304 AVENIDA. LIMAO. 02710-000 São Paulo - SP.",(11) 39650826,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.5107289,-46.6721424
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AUGUSTO RIBEIRO DE CARVALHO PROFESSOR,35000450,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PROFESSOR JOAO MACHADO, 511 RUA. NOSSA SENHORA DO O. 02927-000 São Paulo - SP.",(11) 39763034,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.4979561,-46.7037694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AUGUSTO MEIRELLES REIS FILHO PROFESSOR,35000462,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE JOAO GUALBERTO, 311 RUA. IMIRIM. 02537-000 São Paulo - SP.",(11) 22392001,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4916621,-46.6513643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MATHIAS AIRES,35000474,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MOINHO VELHO, 355 RUA. MOINHO VELHO. 02929-000 São Paulo - SP.",(11) 39751477,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4942673,-46.7078499
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ETEC ALBERT EINSTEIN,35000486,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NOVA GRANADA, 35 RUA. VILA BARUEL. 02522-050 São Paulo - SP.",(11) 39660503,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.504988,-46.6594088
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LUIZ GONZAGA RIGHINI PROFESSOR,35000498,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO EMILIO CARLOS, 900 AVENIDA. LIMAO. 02720-100 São Paulo - SP.",(11) 38573060,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.4978036,-46.6758798
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIO TEIXEIRA MARIANO PROFESSOR,35000504,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOM ANTONIO DE ALMEIDA LUSTOSA, 94 RUA. JARDIM PRIMAVERA ZONA NORTE. 02756-030 São Paulo - SP.",(11) 39362490,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4845652,-46.6774824
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLOMBO DE ALMEIDA PROFESSOR,35000528,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GRACIANO ALTIERI, 114 RUA. CASA VERDE ALTA. 02545-060 São Paulo - SP.",(11) 39511355,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.4939161,-46.6605849
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TARCISIO ALVARES LOBO,35000536,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTELA BORGES MORATO, 500 RUA. VILA SIQUEIRA. 02722-000 São Paulo - SP.",(11) 39312932,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.5026119,-46.6808481
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM NABUCO,35000541,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOAQUIM AFONSO DE SOUZA, 355 RUA. VILA CELESTE. 02543-000 São Paulo - SP.",(11) 22563577,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.488654,-46.6659079
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JACOMO STAVALE PROFESSOR,35000553,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MANUEL MADRUGA, 205 RUA. MOINHO VELHO. 02960-020 São Paulo - SP.",(11) 39312880,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4960487,-46.6996174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOSSA SENHORA DO RETIRO,35000565,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR PEDRO MUSTRE PORTUGAL, 265 RUA. VILA RENATO ZONA NORTE. 02952-080 São Paulo - SP.",(11) 39748680,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4726563,-46.7198185
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,DULCE FERREIRA BOARIN PROFESSORA,35000577,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR FLEURY SILVEIRA, 295 RUA. VILA SANTA MARIA. 02563-010 São Paulo - SP.",(11) 38572840,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4898368,-46.6703778
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PLINIO DAMASCO PENNA PROFESSOR,35000589,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GENERAL ULHOA CINTRA, 37 RUA. VILA BANCARIA MUNHOZ. 02759-030 São Paulo - SP.",(11) 39242756,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atividade Complementar,-23.483116,-46.6837951
