Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET LILA COVAS,35239100,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CELESTINO JOAQUIM DA COSTA, 313 VILA SANTA LUCIA. 04940-050 São Paulo - SP.",(11) 58326872,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.69079931,-46.76668545
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE SANTA MARGARIDA,35239112,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CAPAO REDONDO, 80 JARDIM SANTA MARGARIDA. 04931-100 São Paulo - SP.",(11) 58326446,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.68330728,-46.75667779
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE NOVA SANTO AMARO,35239124,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE MARCELINO DUARTE, 249 PARQUE NOVO SANTO AMARO. 05874-120 São Paulo - SP.",(11) 58310382,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.6966,-46.7825
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM SAO LUIZ I,35239136,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARQUITETO ROBERTO PATRAO ASSIS, 141 CONJUNTO PROMORAR SAO LUIS. 05846-100 São Paulo - SP.",(11) 55117298,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.65816515,-46.74372382
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE FIGUEIRA GRANDE,35239148,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PEDRO DA COSTA FALEIRO, 111 JARDIM FIGUEIRA GRANDE. 04915-020 São Paulo - SP.",(11) 55146599,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.68087333,-46.74645
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET GUMERCINDO DE PADUA FLEURY VER,35239159,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"RAIMUNDA FRANKLIN DE MELO, 300 PARQUE SANTO ANTONIO. 05850-270 São Paulo - SP.",(11) 58191504,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.6599,-46.7562
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM SOUZA,35239161,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO SOBREIRA DA SILVA, S/N JARDIM SOUZA. 04917-120 São Paulo - SP.",(11) 55146407,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.68942328,-46.74711229
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE SANTO ANTONIO,35239173,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"RINALDO DE HANDEL, S/N CHACARA SANTANA. 05821-140 São Paulo - SP.",(11) 55146453,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.6666,-46.7489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM KLEIN,35239185,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"BONIFACIO DE MONTFERRAT, 143 CHACARA SANTANA. 05831-040 São Paulo - SP.",(11) 55145060,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.67373969,-46.74765573
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM SAO LUIZ II,35239197,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"COLOMBO LEONI, 23 CONJUNTO PROMORAR SAO LUIS. 05846-210 São Paulo - SP.",(11) 58165196,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.6585,-46.7456
